AE 101,2,2,7,Tut,1 Eng I AE T37,
AE 101,4,5,20,Tut,1 Eng I AE T37,
AE 101,6,5,30,Tut,1 Eng I AE T37,
AE 101,2,2,7,Tut,1 Eng I AE T38,
AE 101,4,5,20,Tut,1 Eng I AE T38,
AE 101,6,5,30,Tut,1 Eng I AE T38,
AE 101,2,2,7,Tut,1 Eng I AE T39,
AE 101,4,5,20,Tut,1 Eng I AE T39,
AE 101,6,5,30,Tut,1 Eng I AE T39,
AE 101,2,2,7,Tut,1 Eng I AE T40,
AE 101,4,5,20,Tut,1 Eng I AE T40,
AE 101,6,5,30,Tut,1 Eng I AE T40,
AE 101,4,5,20,Tut,1 Eng II AE T41,
AE 101,6,5,30,Tut,1 Eng II AE T41,
AE 101,2,2,7,Tut,1 Eng II AE T41,
AE 101,2,2,7,Tut,1 Eng II AE T42,
AE 101,4,5,20,Tut,1 Eng II AE T42,
AE 101,6,5,30,Tut,1 Eng II AE T42,
AE 101,2,2,7,Tut,1 Eng II AE T43,
AE 101,4,5,20,Tut,1 Eng II AE T43,
AE 101,6,5,30,Tut,1 Eng II AE T43,
AE 101,2,2,7,Tut,1 Eng II AE T44,
AE 101,4,5,20,Tut,1 Eng II AE T44,
AE 101,6,5,30,Tut,1 Eng II AE T44,
AE 101,1,1,1,Tut,1 Eng III AE T45,
AE 101,3,1,11,Tut,1 Eng III AE T45,
AE 101,5,3,23,Tut,1 Eng III AE T45,
AE 101,1,1,1,Tut,1 Eng III AE T46,
AE 101,5,3,23,Tut,1 Eng III AE T46,
AE 101,3,1,11,Tut,1 Eng III AE T46,
AE 101,1,1,1,Tut,1 Eng III AE T48,
AE 101,3,1,11,Tut,1 Eng III AE T48,
AE 101,5,3,23,Tut,1 Eng III AE T48,
AE 101,1,1,1,Tut,1 Eng III AE T49,
AE 101,3,1,11,Tut,1 Eng III AE T49,
AE 101,5,3,23,Tut,1 Eng III AE T49,
AE 101,1,1,1,Tut,1 Eng IV AE  T50,
AE 101,3,1,11,Tut,1 Eng IV AE  T50,
AE 101,5,3,23,Tut,1 Eng IV AE  T50,
AE 101,1,1,1,Tut,1 Eng IV AE  T51,
AE 101,3,1,11,Tut,1 Eng IV AE  T51,
AE 101,5,3,23,Tut,1 Eng IV AE  T51,
AE 101,1,1,1,Tut,1 Eng IV AE  T52,
AE 101,3,1,11,Tut,1 Eng IV AE  T52,
AE 101,5,3,23,Tut,1 Eng IV AE  T52,
AE 101,1,1,1,Tut,1 Eng IV AE  T53,
AE 101,3,1,11,Tut,1 Eng IV AE  T53,
AE 101,5,3,23,Tut,1 Eng IV AE  T53,
AE 101,2,3,8,Tut,1 Eng V AE T54,
AE 101,5,5,25,Tut,1 Eng V AE T54,
AE 101,6,4,29,Tut,1 Eng V AE T54,
AE 101,2,3,8,Tut,1 Eng V AE T55,
AE 101,5,5,25,Tut,1 Eng V AE T55,
AE 101,6,4,29,Tut,1 Eng V AE T55,
AE 101,2,3,8,Tut,1 Eng V AE T56,
AE 101,5,5,25,Tut,1 Eng V AE T56,
AE 101,6,4,29,Tut,1 Eng V AE T56,
AE 101,2,3,8,Tut,1 Eng V AE T57,
AE 101,5,5,25,Tut,1 Eng V AE T57,
AE 101,6,4,29,Tut,1 Eng V AE T57,
AS 102,1,1,1,Tut,1 Eng III AS T64,
AS 102,5,3,23,Tut,1 Eng III AS T64,
AS 102,1,4,4,Tut,1 Eng IX AS T55,
AS 102,5,4,24,Tut,1 Eng IX AS T55,
AS 102,1,4,4,Tut,1 Eng IX AS T56,
AS 102,5,4,24,Tut,1 Eng IX AS T56,
AS 102,1,4,4,Tut,1 Eng IX AS T57,
AS 102,5,4,24,Tut,1 Eng IX AS T57,
AS 102,1,4,4,Tut,1 Eng IX AS T58,
AS 102,5,4,24,Tut,1 Eng IX AS T58,
AS 102,1,4,4,Tut,1 Eng IX AS T59,
AS 102,5,4,24,Tut,1 Eng IX AS T59,
AS 102,2,3,8,Tut,1 Eng V AS T65,
AS 102,6,4,29,Tut,1 Eng V AS T65,
AS 102,2,3,8,Tut,1 Eng VI AS T42,
AS 102,6,4,29,Tut,1 Eng VI AS T42,
AS 102,2,3,8,Tut,1 Eng VI AS T43,
AS 102,6,4,29,Tut,1 Eng VI AS T43,
AS 102,2,3,8,Tut,1 Eng VI AS T44,
AS 102,6,4,29,Tut,1 Eng VI AS T44,
AS 102,2,3,8,Tut,1 Eng VI AS T45,
AS 102,6,4,29,Tut,1 Eng VI AS T45,
AS 102,2,5,10,Tut,1 Eng VII AS T46,
AS 102,1,3,3,Tut,1 Eng VII AS T46,
AS 102,1,3,3,Tut,1 Eng VII AS T47,
AS 102,2,5,10,Tut,1 Eng VII AS T47,
AS 102,1,3,3,Tut,1 Eng VII AS T48,
AS 102,2,5,10,Tut,1 Eng VII AS T48,
AS 102,1,3,3,Tut,1 Eng VII AS T49,
AS 102,2,5,10,Tut,1 Eng VII AS T49,
AS 102,1,3,3,Tut,1 Eng VII AS T50,
AS 102,2,5,10,Tut,1 Eng VII AS T50,
AS 102,1,3,3,Tut,1 Eng VIII AS T51,
AS 102,2,5,10,Tut,1 Eng VIII AS T51,
AS 102,1,3,3,Tut,1 Eng VIII AS T52,
AS 102,2,5,10,Tut,1 Eng VIII AS T52,
AS 102,1,3,3,Tut,1 Eng VIII AS T53,
AS 102,2,5,10,Tut,1 Eng VIII AS T53,
AS 102,1,3,3,Tut,1 Eng VIII AS T54,
AS 102,2,5,10,Tut,1 Eng VIII AS T54,
AS 102,1,4,4,Tut,1 Eng X AS T60,
AS 102,5,4,24,Tut,1 Eng X AS T60,
AS 102,1,4,4,Tut,1 Eng X AS T61,
AS 102,5,4,24,Tut,1 Eng X AS T61,
AS 102,1,4,4,Tut,1 Eng X AS T62,
AS 102,5,4,24,Tut,1 Eng X AS T62,
AS 102,1,4,4,Tut,1 Eng X AS T63,
AS 102,5,4,24,Tut,1 Eng X AS T63,
CHEMt 102,6,1,26,Lecture,E L01,
CHEMt 102,6,1,26,Lecture,E L02,
CHEMt 102,4,1,16,Lecture,E L03,
CHEMt 102,4,1,16,Lecture,E L04,
CHEMt 102,2,4,9,Lecture,E L05,
CHEMt 102,2,4,9,Lecture,E L06,
CHEMt 102,2,1,6,Lecture,E L07,
CHEMt 102,2,1,6,Lecture,E L08,
CHEMt 102,6,2,27,Lecture,E L09,
CHEMt 102,6,2,27,Lecture,E L10,
CHEMt 102,4,3,18,Tut,1E T01,
CHEMt 102,4,2,17,Tut,1E T02,
CHEMt 102,4,3,18,Tut,1E T03,
CHEMt 102,3,3,13,Tut,1E T04,
CHEMt 102,3,2,12,Tut,1E T05,
CHEMt 102,4,2,17,Tut,1E T06,
CHEMt 102,4,1,16,Tut,1E T07,
CHEMt 102,4,1,16,Tut,1E T08,
CHEMt 102,4,3,18,Tut,1E T09,
CHEMt 102,4,3,18,Tut,1E T10,
CHEMt 102,5,4,24,Tut,1E T11,
CHEMt 102,5,4,24,Tut,1E T12,
CHEMt 102,1,3,3,Tut,1E T13,
CHEMt 102,3,2,12,Tut,1E T14,
CHEMt 102,5,4,24,Tut,1E T15,
CHEMt 102,3,4,14,Tut,1E T16,
CHEMt 102,3,2,12,Tut,1E T17,
CHEMt 102,4,5,20,Tut,1E T18,
CHEMt 102,2,5,10,Tut,1E T19,
CHEMt 102,2,5,10,Tut,1E T20,
CHEMt 102,2,1,6,Tut,1E T21,
CHEMt 102,1,4,4,Tut,1E T22,
CHEMt 102,5,2,22,Tut,1E T23,
CHEMt 102,2,2,7,Tut,1E T24,
CHEMt 102,2,2,7,Tut,1E T25,
CHEMt 102,5,2,22,Tut,1E T26,
CHEMt 102,6,2,27,Tut,1E T27,
CHEMt 102,6,4,29,Tut,1E T28,
CHEMt 102,1,1,1,Tut,1E T29,
CHEMt 102,6,4,29,Tut,1E T30,
CHEMt 102,5,3,23,Tut,1E T31,
CHEMt 102,5,1,21,Tut,1E T32,
CHEMt 102,5,1,21,Tut,1E T33,
CHEMt 102,1,2,2,Tut,1E T34,
CHEMt 102,1,2,2,Tut,1E T35,
CHEMt 102,6,1,26,Tut,1E T36,
CHEMt 102,5,1,21,Tut,1E T37,
CHEMt 102,2,3,8,Tut,1E T38,
CHEMt 102,6,5,30,Tut,1E T39,
CHEMt 102,1,5,5,Tut,1E T40,
CHEMt 102,5,1,21,Tut,1E T41,
CHEMt 102,2,3,8,Tut,1E T42,
CHEMt 102,2,3,8,Tut,1E T43,
CHEMt 102,6,3,28,Tut,1E T44,
CHEMt 102,6,3,28,Tut,1E T45,
CPS 402,3,1,11,Tut,3 IET&MET I CPS T50,
CPS 402,3,1,11,Tut,3 IET&MET I CPS T51,
CPS 402,3,1,11,Tut,3 IET&MET I CPS T52,
CPS 402,3,1,11,Tut,3 IET&MET I CPS T53,
CPS 402,3,1,11,Tut,3 IET&MET I CPS T54,
CPS 402,3,2,12,Tut,3 IET&MET II CPS T55,
CPS 402,3,2,12,Tut,3 IET&MET II CPS T56,
CPS 402,3,2,12,Tut,3 IET&MET II CPS T57,
CPS 402,3,2,12,Tut,3 IET&MET II CPS T58,
CPS 402,3,2,12,Tut,3 IET&MET II CPS T59,
CPS 402,6,1,26,Tut,5 MET CPS T07,
CSEN 102,4,2,17,Lab,1E P01,
CSEN 102,4,3,18,Lab,1E P02,
CSEN 102,4,2,17,Lab,1E P03,
CSEN 102,4,3,18,Lab,1E P04,
CSEN 102,4,3,18,Lab,1E P05,
CSEN 102,6,3,28,Lab,1E P06,
CSEN 102,6,3,28,Lab,1E P07,
CSEN 102,3,2,12,Lab,1E P08,
CSEN 102,3,2,12,Lab,1E P09,
CSEN 102,5,4,24,Lab,1E P10,
CSEN 102,3,4,14,Lab,1E P11,
CSEN 102,3,4,14,Lab,1E P12,
CSEN 102,4,5,20,Lab,1E P13,
CSEN 102,4,5,20,Lab,1E P14,
CSEN 102,3,4,14,Lab,1E P15,
CSEN 102,5,4,24,Lab,1E P16,
CSEN 102,5,4,24,Lab,1E P17,
CSEN 102,5,4,24,Lab,1E P18,
CSEN 102,5,2,22,Lab,1E P19,
CSEN 102,5,2,22,Lab,1E P20,
CSEN 102,5,2,22,Lab,1E P21,
CSEN 102,6,2,27,Lab,1E P22,
CSEN 102,2,2,7,Lab,1E P23,
CSEN 102,6,2,27,Lab,1E P24,
CSEN 102,6,2,27,Lab,1E P25,
CSEN 102,2,2,7,Lab,1E P26,
CSEN 102,2,5,10,Lab,1E P27,
CSEN 102,5,3,23,Lab,1E P28,
CSEN 102,5,3,23,Lab,1E P29,
CSEN 102,1,2,2,Lab,1E P30,
CSEN 102,1,2,2,Lab,1E P31,
CSEN 102,1,2,2,Lab,1E P32,
CSEN 102,6,4,29,Lab,1E P33,
CSEN 102,6,4,29,Lab,1E P34,
CSEN 102,5,1,21,Lab,1E P35,
CSEN 102,5,3,23,Lab,1E P36,
CSEN 102,2,3,8,Lab,1E P37,
CSEN 102,5,1,21,Lab,1E P38,
CSEN 102,5,1,21,Lab,1E P39,
CSEN 102,5,1,21,Lab,1E P40,
CSEN 102,2,4,9,Lab,1E P41,
CSEN 102,6,5,30,Lab,1E P42,
CSEN 102,6,5,30,Lab,1E P43,
CSEN 102,2,3,8,Lab,1E P44,
CSEN 102,2,3,8,Lab,1E P45,
CSEN 102,2,4,9,Lecture,E L01,
CSEN 102,2,4,9,Lecture,E L02,
CSEN 102,5,2,22,Lecture,E L03,
CSEN 102,5,2,22,Lecture,E L04,
CSEN 102,6,3,28,Lecture,E L05,
CSEN 102,6,3,28,Lecture,E L06,
CSEN 102,6,2,27,Lecture,E L07,
CSEN 102,6,2,27,Lecture,E L08,
CSEN 102,2,1,6,Lecture,E L09,
CSEN 102,2,1,6,Lecture,E L10,
CSEN 102,4,1,16,Tut,1E T01,
CSEN 102,3,1,11,Tut,1E T02,
CSEN 102,4,1,16,Tut,1E T03,
CSEN 102,3,2,12,Tut,1E T04,
CSEN 102,3,3,13,Tut,1E T05,
CSEN 102,3,3,13,Tut,1E T06,
CSEN 102,3,1,11,Tut,1E T07,
CSEN 102,3,1,11,Tut,1E T08,
CSEN 102,3,1,11,Tut,1E T09,
CSEN 102,4,4,19,Tut,1E T10,
CSEN 102,1,3,3,Tut,1E T11,
CSEN 102,1,3,3,Tut,1E T12,
CSEN 102,4,4,19,Tut,1E T13,
CSEN 102,4,4,19,Tut,1E T14,
CSEN 102,3,2,12,Tut,1E T15,
CSEN 102,4,5,20,Tut,1E T16,
CSEN 102,4,3,18,Tut,1E T17,
CSEN 102,4,3,18,Tut,1E T18,
CSEN 102,2,1,6,Tut,1E T19,
CSEN 102,1,4,4,Tut,1E T20,
CSEN 102,1,4,4,Tut,1E T21,
CSEN 102,2,1,6,Tut,1E T22,
CSEN 102,2,1,6,Tut,1E T23,
CSEN 102,5,2,22,Tut,1E T24,
CSEN 102,5,2,22,Tut,1E T25,
CSEN 102,2,1,6,Tut,1E T26,
CSEN 102,2,2,7,Tut,1E T27,
CSEN 102,5,1,21,Tut,1E T28,
CSEN 102,5,1,21,Tut,1E T29,
CSEN 102,1,1,1,Tut,1E T30,
CSEN 102,1,1,1,Tut,1E T31,
CSEN 102,1,1,1,Tut,1E T32,
CSEN 102,6,1,26,Tut,1E T33,
CSEN 102,6,1,26,Tut,1E T34,
CSEN 102,2,3,8,Tut,1E T35,
CSEN 102,2,3,8,Tut,1E T36,
CSEN 102,2,2,7,Tut,1E T37,
CSEN 102,1,5,5,Tut,1E T38,
CSEN 102,1,5,5,Tut,1E T39,
CSEN 102,2,4,9,Tut,1E T40,
CSEN 102,2,3,8,Tut,1E T41,
CSEN 102,6,3,28,Tut,1E T42,
CSEN 102,6,3,28,Tut,1E T43,
CSEN 102,2,2,7,Tut,1E T44,
CSEN 102,2,2,7,Tut,1E T45,
CSEN 1066,4,5,20,Lecture,EL L01,
CSEN 1066,6,3,28,Lecture,EL L01,
CSEN 1066,4,5,20,Lecture,EL L01,
CSEN 1066,6,3,28,Lecture,EL L01,
CSEN 1067,6,1,26,Lecture,EL L01,
CSEN 1067,6,1,26,Lecture,EL L01,
CSEN 1067,6,2,27,Lecture,EL L01,
CSEN 1067,6,2,27,Lecture,EL L01,
CSEN 301,6,4,29,Lab,3IET/MET P01,
CSEN 301,6,4,29,Lab,3IET/MET P02,
CSEN 301,6,4,29,Lab,3IET/MET P03,
CSEN 301,5,2,22,Lab,3IET/MET P04,
CSEN 301,3,3,13,Lab,3IET/MET P05,
CSEN 301,6,5,30,Lab,3IET/MET P06,
CSEN 301,6,5,30,Lab,3IET/MET P07,
CSEN 301,6,5,30,Lab,3IET/MET P08,
CSEN 301,3,3,13,Lab,3IET/MET P09,
CSEN 301,3,4,14,Lab,3IET/MET P10,
CSEN 301,6,3,28,Lab,3IET/MET P11,
CSEN 301,6,3,28,Lab,3IET/MET P12,
CSEN 301,2,3,8,Lab,3IET/MET P13,
CSEN 301,4,3,18,Lab,3IET/MET P14,
CSEN 301,3,4,14,Lab,3IET/MET P15,
CSEN 301,4,4,19,Lab,3IET/MET P16,
CSEN 301,5,2,22,Lab,3IET/MET P17,
CSEN 301,5,5,25,Lab,3IET/MET P18,
CSEN 301,5,2,22,Lab,3IET/MET P19,
CSEN 301,5,4,24,Lecture,E L01,
CSEN 301,5,3,23,Lecture,E L02,
CSEN 301,5,2,22,Tut,3IET/MET T01,
CSEN 301,5,2,22,Tut,3IET/MET T02,
CSEN 301,2,4,9,Tut,3IET/MET T03,
CSEN 301,2,5,10,Tut,3IET/MET T04,
CSEN 301,2,5,10,Tut,3IET/MET T05,
CSEN 301,6,4,29,Tut,3IET/MET T06,
CSEN 301,4,2,17,Tut,3IET/MET T07,
CSEN 301,3,3,13,Tut,3IET/MET T08,
CSEN 301,2,4,9,Tut,3IET/MET T09,
CSEN 301,2,5,10,Tut,3IET/MET T10,
CSEN 301,5,5,25,Tut,3IET/MET T11,
CSEN 301,5,4,24,Tut,3IET/MET T12,
CSEN 301,2,2,7,Tut,3IET/MET T13,
CSEN 301,3,4,14,Tut,3IET/MET T14,
CSEN 301,2,3,8,Tut,3IET/MET T15,
CSEN 301,4,3,18,Tut,3IET/MET T16,
CSEN 301,4,3,18,Tut,3IET/MET T17,
CSEN 301,4,3,18,Tut,3IET/MET T18,
CSEN 301,3,4,14,Tut,3IET/MET T19,
CSEN 501,6,4,29,Lab,5CSEN P10,
CSEN 501,2,4,9,Lab,5CSEN P11,
CSEN 501,3,4,14,Lab,5CSEN P12,
CSEN 501,3,2,12,Lab,5CSEN P13,
CSEN 501,2,4,9,Lab,5CSEN P14,
CSEN 501,2,2,7,Lab,5CSEN P15,
CSEN 501,6,3,28,Lab,5CSEN P16,
CSEN 501,2,1,6,Lab,5CSEN P17,
CSEN 501,3,3,13,Lab,5CSEN P18,
CSEN 501,2,2,7,Lab,5CSEN P19,
CSEN 501,3,1,11,Lab,5DMET P20,
CSEN 501,6,3,28,Lecture,CSEN L01,
CSEN 501,6,4,29,Lecture,CSEN L02,
CSEN 501,6,4,29,Lecture,DMET L01,
CSEN 501,2,3,8,Tut,5CSEN T10,
CSEN 501,6,2,27,Tut,5CSEN T11,
CSEN 501,2,4,9,Tut,5CSEN T12,
CSEN 501,6,2,27,Tut,5CSEN T13,
CSEN 501,6,4,29,Tut,5CSEN T14,
CSEN 501,3,4,14,Tut,5CSEN T15,
CSEN 501,3,3,13,Tut,5CSEN T16,
CSEN 501,3,4,14,Tut,5CSEN T17,
CSEN 501,2,2,7,Tut,5CSEN T18,
CSEN 501,6,3,28,Tut,5CSEN T19,
CSEN 501,2,4,9,Tut,5DMET T20,
CSEN 502,1,3,3,Lecture,CSEN L01,
CSEN 502,3,1,11,Lecture,CSEN L01,
CSEN 502,1,3,3,Lecture,CSEN L02,
